state_code,state_name,is_state,total_cong_districts,senate_election_2018,senate_elected_2018_incumbent_party,senate_open_seat_2018,governor_election_2018,current_governor_party,governor_open_seat_2018,automatic_vr,online_vr,same_day_vr,eday_vr,early_vote_in_person,in_person_absentee,early_vote_by_mail,early_vote_by_mail_fault,perm_absentee,election_calendar_url,eastern_tz_flag,central_tz_flag,mountain_tz_flag,pacific_tz_flag,alaska_tz_flag,hawaiian_tz_flag,notes
ID,Idaho,yes,2,no,,no,yes,republican,yes,no,yes,no,yes,yes,yes,yes,no,no,https://sos.idaho.gov/elect/2018Calendar.html,no,no,yes,yes,no,no,
IL,Illinois,yes,18,no,,no,yes,republican,no,no,yes,yes,yes,yes,no,yes,no,no,https://www.elections.il.gov/Downloads/ElectionInformation/PDF/2018ElectionCalendar.pdf,no,yes,no,no,no,no,
IN,Indiana,yes,9,yes,democrat,no,no,republican,no,no,yes,no,no,yes,yes,yes,yes,no,https://www.in.gov/sos/elections/files/2018%20Calendar%20Brochure.pdf,yes,yes,no,no,no,no,
IA,Iowa,yes,4,no,,no,yes,republican,no,no,yes,yes,yes,yes,yes,yes,no,no,https://sos.iowa.gov/elections/electioninfo/3yrelectioncal.html,no,yes,no,no,no,no,
KS,Kansas,yes,4,no,,no,yes,republican,yes,no,yes,no,no,yes,no,yes,no,no,,no,yes,yes,no,no,no,
KY,Kentucky,yes,6,no,,no,no,republican,no,no,yes,no,no,no,no,yes,yes,no,https://elect.ky.gov/calendar/Documents/2018%20Election%20Calendar.pdf,yes,yes,no,no,no,no,
LA,Louisiana,yes,6,no,,no,no,democrat,no,no,yes,no,no,yes,no,yes,yes,no,https://www.sos.la.gov/ElectionsAndVoting/PublishedDocuments/ElectionsCalendar2018.pdf,no,yes,no,no,no,no,
ME,Maine,yes,2,yes,democrat,no,yes,republican,yes,no,no,no,yes,yes,yes,yes,no,no,https://www.maine.gov/sos/cec/elec/voter-info/index.html,yes,no,no,no,no,no,
MD,Maryland,yes,8,yes,democrat,no,yes,republican,no,no,yes,yes,no,yes,no,yes,no,no,http://www.elections.state.md.us/elections/2018/2018_Election_Calendar.pdf,yes,no,no,no,no,no,
MA,Massachusetts,yes,9,yes,democrat,no,yes,republican,no,no,yes,no,no,yes,no,yes,yes,no,https://www.sec.state.ma.us/ele/,yes,no,no,no,no,no,Early voting in person only applicable to the general election.
MI,Michigan,yes,14,yes,democrat,no,yes,republican,yes,no,no,no,no,no,no,yes,yes,no,https://www.michigan.gov/documents/sos/2018_Dates_600221_7.pdf,yes,yes,no,no,no,no,
MN,Minnesota,yes,8,yes,democrat,yes,yes,democrat,yes,no,yes,no,yes,yes,yes,yes,no,yes,http://www.sos.state.mn.us/election-administration-campaigns/elections-calendar/,no,yes,no,no,no,no,
MS,Mississippi,yes,4,yes,republican,no,no,republican,no,no,no,no,no,no,no,yes,yes,no,http://www.sos.ms.gov/Elections-Voting/Documents/2018%20Website%20Calendar.pdf,no,yes,no,no,no,no,
MO,Missouri,yes,8,yes,democrat,no,no,republican,no,no,yes,no,no,no,no,yes,yes,no,https://www.sos.mo.gov/elections/calendar/2018cal,no,yes,no,no,no,no,
MT,Montana,yes,1,yes,democrat,no,no,democrat,no,no,no,no,yes,yes,yes,yes,no,yes,https://sos.mt.gov/elections/calendar,no,no,yes,no,no,no,
NE,Nebraska,yes,3,yes,republican,no,yes,republican,no,no,yes,no,no,yes,no,yes,no,no,http://www.sos.ne.gov/elec/2018/pdf/2018-election-calendar.pdf,no,yes,yes,no,no,no,
NV,Nevada,yes,4,yes,republican,no,yes,republican,yes,no,yes,no,no,yes,no,yes,no,yes,http://nvsos.gov/sos/elections/2018-election/important-2018-candidate-dates,no,no,no,yes,no,no,
NH,New Hampshire,yes,2,no,,no,yes,republican,no,no,no,no,yes,no,no,yes,yes,no,http://sos.nh.gov/WorkArea/DownloadAsset.aspx?id=8589972718,yes,no,no,no,no,no,
NJ,New Jersey,yes,12,yes,democrat,no,no,democrat,no,no,no,no,no,yes,yes,yes,no,yes,http://www.nj.gov/state/elections/election-information-archive-2018.html,yes,no,no,no,no,no,
NM,New Mexico,yes,3,yes,democrat,no,yes,republican,yes,no,yes,no,no,yes,no,yes,no,no,http://www.sos.state.nm.us/,no,no,yes,no,no,no,
NY,New York,yes,27,yes,democrat,no,yes,democrat,no,no,yes,no,no,yes,yes,yes,yes,no,https://www.elections.ny.gov/NYSBOE/law/2018PoliticalCalendar.pdf,yes,no,no,no,no,no,In-person absentee voting is with an excuse only.
NC,North Carolina,yes,13,no,,no,no,democrat,no,no,no,yes,no,yes,no,yes,no,no,https://www.ncsbe.gov/Elections/Agency-Calendar,yes,no,no,no,no,no,
ND,North Dakota,yes,1,yes,democrat,no,no,republican,no,no,no,no,no,yes,no,yes,no,no,https://vip.sos.nd.gov/pdfs/Portals/electioncalendar.pdf,no,yes,yes,no,no,no,
OH,Ohio,yes,16,yes,democrat,no,yes,republican,yes,no,yes,no,no,yes,yes,yes,no,no,https://www.sos.state.oh.us/globalassets/publications/election/2018electioncalendar_letter.pdf,yes,no,no,no,no,no,
OK,Oklahoma,yes,5,no,,no,yes,republican,yes,no,yes,no,no,yes,yes,yes,no,no,https://www.ok.gov/elections/Election_Info/2018_Election_Calendar.html,no,yes,no,no,no,no,
OR,Oregon,yes,5,no,,no,yes,democrat,no,yes,yes,no,no,no,no,yes,no,yes,http://sos.oregon.gov/elections/Documents/2018-election-timeline.pdf,no,no,yes,yes,no,no,
PA,Pennsylvania,yes,18,yes,democrat,no,yes,democrat,no,no,yes,no,no,yes,yes,yes,yes,no,http://www.dos.pa.gov/VotingElections/Pages/default.aspx,yes,no,no,no,no,no,In-person absentee voting is with an excuse only.
RI,Rhode Island,yes,2,yes,democrat,no,yes,democrat,no,yes,yes,no,no,no,no,yes,yes,no,http://sos.ri.gov/divisions/Elections,yes,no,no,no,no,no,
SC,South Carolina,yes,7,no,,no,yes,republican,no,no,yes,no,no,no,no,yes,yes,no,https://www.scvotes.org/sites/default/files/2018%20Election%20Calendar%202017-11-21.pdf,yes,no,no,no,no,no,
SD,South Dakota,yes,1,no,,no,yes,republican,yes,no,no,no,no,yes,yes,yes,no,no,https://sdsos.gov/elections-voting/assets/2018ElectionCALENDAR.pdf,no,yes,yes,no,no,no,
TN,Tennessee,yes,9,yes,republican,yes,yes,republican,yes,no,yes,no,no,yes,no,yes,yes,no,https://sos.tn.gov/products/elections/election-calendar-0,yes,yes,no,no,no,no,
TX,Texas,yes,36,yes,republican,no,yes,republican,no,no,no,no,no,yes,no,yes,yes,no,https://www.sos.state.tx.us/elections/voter/2018-important-election-dates.shtml,no,yes,yes,no,no,no,
UT,Utah,yes,4,yes,republican,no,no,republican,no,no,yes,no,no,yes,no,yes,no,yes,https://elections.utah.gov/Media/Default/2018%20Election/2018%20Candidate%20Manual.pdf,no,no,yes,no,no,no,
VT,Vermont,yes,1,yes,democrat,no,yes,republican,no,yes,yes,yes,yes,yes,yes,yes,no,no,https://www.sec.state.vt.us/elections/elections-calendar-of-events.aspx?month=7&year=2018&page=1,yes,no,no,no,no,no,
VA,Virginia,yes,11,yes,democrat,no,no,democrat,no,no,yes,no,no,yes,yes,yes,yes,no,https://www.elections.virginia.gov/voter-outreach/upcoming-elections.html,yes,no,no,no,no,no,
WA,Washington,yes,10,yes,democrat,no,no,democrat,no,no,yes,no,no,no,no,yes,no,yes,https://www.sos.wa.gov/elections/calendar_list.aspx?y=2018,no,no,no,yes,no,no,
WV,West Virginia,yes,3,yes,democrat,no,no,republican,no,yes,yes,no,no,yes,no,yes,yes,no,https://sos.wv.gov/elections/Pages/default.aspx,yes,no,no,no,no,no,
WI,Wisconsin,yes,8,yes,democrat,no,yes,republican,no,no,yes,no,yes,yes,yes,yes,no,no,http://elections.wi.gov/sites/default/files/publication/65/2018_calendar_of_election_events_pdf_rev_9_19_17_19667.pdf,no,yes,no,no,no,no,
WY,Wyoming,yes,1,yes,republican,no,yes,republican,yes,no,no,yes,yes,yes,yes,yes,no,no,https://soswy.state.wy.us/Elections/Docs/2018/2018_Printable_Election_Calendar.pdf,no,no,yes,no,no,no,
AS,American Samoa,no,0,no,,,no,democrat,,no,no,,no,,,,,,,no,no,no,no,no,no,
DC,District of Columbia,no,0,no,,,no,democrat,no,yes,yes,,yes,yes,no,yes,no,yes,https://www.dcboe.org/election_info/election_year2018/,no,no,no,no,no,no,
FM,Federated States of Micronesia,no,0,no,,,no,,,no,no,,no,,,,,,,no,no,no,no,no,no,
GU,Guam,no,0,no,,,no,republican,,no,no,,no,,,,,,,no,no,no,no,no,no,
MH,Marshall Islands,no,0,no,,,no,,,no,no,,no,,,,,,,no,no,no,no,no,no,
MP,Northern Mariana Islands,no,0,no,,,no,republican,,no,no,,no,,,,,,,no,no,no,no,no,no,
PW,Palau,no,0,no,,,no,,,no,no,,no,,,,,,,no,no,no,no,no,no,
PR,Puerto Rico,no,0,no,,,no,democrat,,no,no,,no,,,,,,,no,no,no,no,no,no,
VI,Virgin Islands,no,0,no,,,no,other,,no,no,,no,,,,,,,no,no,no,no,no,no,
